,City,City Latitude,City Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
188,Denver,39.74,-104.98,Your Mom's House,39.7368039286521,-104.97945057397328,Music Venue
189,Denver,39.74,-104.98,Capitol Convenience,39.73689797068549,-104.9798204436797,Convenience Store
190,Denver,39.74,-104.98,Domino's Pizza,39.736662951394436,-104.98329151422467,Pizza Place
191,Denver,39.74,-104.98,Greenwerkz Wellness Center,39.73964284438885,-104.97563053046132,Marijuana Dispensary
192,Hartford,41.77,-72.68,Blackeyed Sally's,41.76766123274433,-72.67953242439214,BBQ Joint
193,Hartford,41.77,-72.68,Agave Grill,41.768462833318715,-72.67800386164903,Mexican Restaurant
194,Hartford,41.77,-72.68,Aladdin Halal,41.768505,-72.678052,Middle Eastern Restaurant
195,Hartford,41.77,-72.68,Dunkin' Donuts Park,41.77142,-72.675,Baseball Stadium
196,Hartford,41.77,-72.68,Max Downtown,41.76714093568001,-72.67662801676319,American Restaurant
197,Hartford,41.77,-72.68,TheaterWorks,41.76648625847757,-72.67778204765344,Theater
198,Hartford,41.77,-72.68,Al's Market & Deli,41.76739779035613,-72.67758085681064,Grocery Store
199,Hartford,41.77,-72.68,The Downtown YMCA,41.7683378901772,-72.67597366066948,Gym
200,Hartford,41.77,-72.68,Hartford Stage,41.76877472916828,-72.67431640482823,Theater
201,Hartford,41.77,-72.68,New York Deli,41.76827458490981,-72.67548416487027,Deli / Bodega
202,Hartford,41.77,-72.68,Yard Goat Club,41.771500879282144,-72.6743313218562,Baseball Stadium
203,Hartford,41.77,-72.68,The Tobacco Shop,41.76773421760838,-72.67494903551733,Smoke Shop
204,Hartford,41.77,-72.68,Spiritus Wines,41.76726964212719,-72.67705300406479,Liquor Store
205,Hartford,41.77,-72.68,XL Center,41.768556499034894,-72.67704632213207,Hockey Arena
206,Hartford,41.77,-72.68,Art Space,41.76749904005272,-72.68320040620813,Art Gallery
207,Hartford,41.77,-72.68,Bin 228,41.76654778068759,-72.67761796765187,Wine Bar
208,Hartford,41.77,-72.68,Goodwin Hotel,41.76703916343628,-72.67689848288393,Hotel
209,Hartford,41.77,-72.68,Piña Bar,41.767199679300425,-72.67696678968551,Cocktail Bar
210,Hartford,41.77,-72.68,Pigs Eye Pub,41.76773884095207,-72.67954200021178,Bar
211,Hartford,41.77,-72.68,SUBWAY,41.768792955323015,-72.68154986511689,Sandwich Place
212,Hartford,41.77,-72.68,Starbucks,41.76679552,-72.67591306,Coffee Shop
213,Hartford,41.77,-72.68,The Russell,41.76782798166711,-72.6754572250533,Caribbean Restaurant
214,Hartford,41.77,-72.68,Dunkin',41.768237763114854,-72.6751229739723,Donut Shop
215,Hartford,41.77,-72.68,7 Sins Lounge & Bar,41.76924721584188,-72.68131971359253,Lounge
216,Hartford,41.77,-72.68,Laetus Restaurant & Lounge,41.76693,-72.67751,Asian Restaurant
217,Hartford,41.77,-72.68,V's Trattoria,41.768814243043145,-72.67483736087026,Italian Restaurant
218,Hartford,41.77,-72.68,TD Bank,41.767334074639976,-72.6760013565654,Bank
219,Hartford,41.77,-72.68,The Russian Lady,41.767998348235764,-72.67793904117849,Bar
220,Hartford,41.77,-72.68,SUBWAY,41.77416674482246,-72.67850115702572,Sandwich Place
221,Hartford,41.77,-72.68,Au Bon Pain,41.7668802933638,-72.67650311591939,Sandwich Place
222,Hartford,41.77,-72.68,Dunkin',41.76836098982523,-72.67641536441806,Donut Shop
223,Hartford,41.77,-72.68,The Tavern Downtown,41.76826616235783,-72.67807944994077,Bar
224,Hartford,41.77,-72.68,Dunkin',41.768914,-72.681575,Donut Shop
225,Hartford,41.77,-72.68,Max Bibo's,41.7676719590973,-72.67556719024428,Deli / Bodega
226,Hartford,41.77,-72.68,M & M Bistro,41.76910603738831,-72.67530434141726,Bistro
227,Hartford,41.77,-72.68,Hilton,41.7692847,-72.6762242,Hotel
228,Hartford,41.77,-72.68,Dunkin',41.771117,-72.674264,Donut Shop
229,Hartford,41.77,-72.68,Pyur,41.76843067217215,-72.67889612401791,Nightclub
230,Hartford,41.77,-72.68,Dunkin',41.77414230058482,-72.67841574511277,Donut Shop
231,District of Columbia,38.91,-77.01,Uncle Chip's,38.91014155561425,-77.0091644039656,Bakery
232,District of Columbia,38.91,-77.01,Wicked Bloom,38.91076270001639,-77.00920241965898,Bar
233,District of Columbia,38.91,-77.01,Capital City Care,38.90822379137543,-77.0092215030647,Pharmacy
234,District of Columbia,38.91,-77.01,Republic Cantina,38.907443,-77.011108,Tex-Mex Restaurant
235,District of Columbia,38.91,-77.01,Big Bear Cafe,38.91265039743225,-77.01233012803846,Café
236,District of Columbia,38.91,-77.01,The Pub & The People,38.912353131655536,-77.00930804014206,Pub
237,District of Columbia,38.91,-77.01,Bloomingdale Farmers Market,38.91260622831253,-77.01247740701442,Farmers Market
238,District of Columbia,38.91,-77.01,SiriusXM Satellite Radio,38.90946347229844,-77.00591375619382,Radio Station
239,District of Columbia,38.91,-77.01,Jam Doung Style,38.913517048942246,-77.00912022959788,Caribbean Restaurant
240,District of Columbia,38.91,-77.01,Spark,38.912022,-77.009425,Caribbean Restaurant
241,District of Columbia,38.91,-77.01,52 O Street Artist Studios,38.90848361809832,-77.01089063234707,Art Gallery
242,District of Columbia,38.91,-77.01,Big Ben Liquors,38.90745474739563,-77.00918253933793,Wine Shop
243,District of Columbia,38.91,-77.01,Subway,38.910701,-77.009455,Sandwich Place
244,District of Columbia,38.91,-77.01,Qualia Coffee,38.9106980792712,-77.00472275212789,Coffee Shop
245,District of Columbia,38.91,-77.01,Hyatt Place Washington Dc/Us Capitol,38.907542535322584,-77.00774928287055,Hotel
246,District of Columbia,38.91,-77.01,Sunset Liquors Inc,38.911887,-77.011945,Winery
247,District of Columbia,38.91,-77.01,KFC,38.910887,-77.00869,Fast Food Restaurant
248,District of Columbia,38.91,-77.01,The Washington Firehouse Restaurant,38.91198826590869,-77.00914270130781,American Restaurant
249,District of Columbia,38.91,-77.01,New York Pizza,38.910770746172496,-77.00878107031366,Pizza Place
250,District of Columbia,38.91,-77.01,TD Bank,38.9070766,-77.0056522,Bank
